พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
มะขาม,170,62,232,"111,800.00"
มะนาว,7,6,13,"6,400.00"
มะปรางหวาน,11,6,17,"12,100.00"
มะม่วง,70,26,96,0
มะละกอ,34,13,47,"45,000.00"
ละมุด,7,2,9,0
ลำไย,586,213,799,0
ลิ้นจี่,22,2,24,0
สละ,35,17,52,"42,000.00"
แก้วมังกร,100,47,147,0
หมากเม่า,624,536,"1,160.00","41,800.00"
ไม้ยืนต้น,"14,521.00","7,367.00","21,888.00","1,075,700.00"
ปาล์มน้ำมัน,209,178,387,"138,000.00"
มะพร้าว,2,2,4,0
ยางพารา,"11,532.00","6,637.00","18,169.00",0
ยูคาลิปตัส,"1,441.00",32,"1,473.00",0
หวาย,"1,261.00",488,"1,749.00","937,700.00"
ไผ่,76,30,106,0
สงขลา,"1,745,531.01","347,707.04","2,093,238.05","982,346,799.24"
เมืองสงขลา,"23,243.50","5,068.00","28,311.50","1,677,288.82"
ไม้ผล,"1,053.50",630,"1,683.50","205,425.00"
กระท้อน,55,2,57,"9,500.00"
กล้วยน้ำว้า,25,10,35,"14,750.00"
กล้วยหอม,4,1,5,0
กล้วยตานี,2,0,2,0
เงาะ,7,0,7,0
จำปาดะ,128,48,176,"45,900.00"
ทุเรียน,168,193,361,"19,200.00"
ฝรั่ง,4,0,4,"2,500.00"
มะนาว,84,0,84,"14,400.00"
มะปรางหวาน,0,12,12,0
มะยงชิด,0,1,1,0
มะละกอ,13,5,18,"1,200.00"
มังคุด,73,66,139,"26,175.00"
ระกำ,0,1,1,0
ลองกอง,186.5,49,235.5,"22,900.00"
ละมุด,249,232,481,"35,000.00"
ลางสาด,42,2,44,"11,200.00"
สละ,11,3,14,"2,700.00"
แก้วมังกร,0,0,0,0
ไม้ผลอื่นๆ,2,5,7,0
ไม้ยืนต้น,"22,190.00","4,438.00","26,628.00","1,471,863.82"
ปาล์มน้ำมัน,46,42,88,"127,028.00"
มะพร้าว,"2,260.00",352.5,"2,612.50","777,260.00"
ยางพารา,"19,563.00","3,674.00","23,237.00","551,175.82"
ลูกเนียง,0,1,1,0
สะตอ,0,2,2,0
อินทผาลัม,0,1.5,1.5,0
ผักเหลียง(ผักเหมียง),321,365,686,"16,400.00"
สทิงพระ,"7,205.25","4,065.55","11,270.80","8,519,227.66"
ไม้ผล,"1,674.00",791,"2,465.00","2,148,710.00"
กระท้อน,7,4,11,"24,400.00"
กล้วยน้ำว้า,781.5,364,"1,145.50","1,333,980.00"
ขนุนหนัง,17.5,5,22.5,"37,500.00"
ฝรั่ง,2,2,4,"14,200.00"
มะนาว,171,23,194,"162,330.00"
มะม่วง,540,355,895,"75,100.00"
มะละกอ,128,38,166,"466,700.00"
ละมุด,27,0,27,"34,500.00"
ไม้ยืนต้น,"5,483.25","3,264.55","8,747.80","6,348,576.66"
ตาลโตนด,"1,532.00","1,877.00","3,409.00","116,700.00"
ปาล์มน้ำมัน,"2,325.00",765.75,"3,090.75","4,158,985.00"
มะพร้าว,"1,545.00",561,"2,106.00","2,068,635.00"
ยางพารา,81.25,60.8,142.05,"4,256.66"
สมุนไพรและเครื่องเทศ (รต.02),48,10,58,"21,941.00"
พลู,48,10,58,"21,941.00"
จะนะ,"154,386.00","43,366.00","197,752.00","2,076,369.96"
ไม้ผล,0,0,0,0
ส้มโอ,0,0,0,0
ไม้ยืนต้น,"154,386.00","43,366.00","197,752.00","2,076,369.96"
ปาล์มน้ำมัน,"3,643.00",536,"4,179.00","1,072,620.00"
ยางพารา,"150,743.00","42,830.00","193,573.00","1,003,749.96"
นาทวี,"282,733.50","49,646.00","332,379.50",0
ไม้ผล,"10,588.50","2,641.00","13,229.50",0
กล้วยน้ำว้า,723,686,"1,409.00",0
ขนุนหนัง,78,78,156,0
เงาะ,"1,182.00",151,"1,333.00",0
จำปาดะ,20,11,31,0
ทุเรียน,"2,560.00",335,"2,895.00",0
มะนาว,25,39,64,0
มังคุด,"1,284.00",483,"1,767.00",0
ลองกอง,"4,648.00",838,"5,486.00",0
สละ,62.5,20,82.5,0
ส้มโอ,6,0,6,0
ไม้ยืนต้น,"272,145.00","47,005.00","319,150.00",0
ปาล์มน้ำมัน,"1,480.00",109,"1,589.00",0
ยางพารา,"270,164.00","46,790.00","316,954.00",0
สะตอ,501,106,607,0
เทพา,"291,269.75","3,184.50","294,454.25","486,944,568.32"
ไม้ผล,908.75,127.5,"1,036.25","907,520.00"
กล้วยน้ำว้า,22,3,25,"195,280.00"
กล้วยหอม,53,54,107,"131,590.00"
เงาะ,112.25,4,116.25,"63,040.00"
ทุเรียน,385,54,439,"238,580.00"
มะนาว,3,5,8,"11,890.00"
มังคุด,136,2,138,"87,570.00"
ลองกอง,180,0,180,"165,530.00"
สละ,6,0,6,"4,560.00"
ส้มจุก,4,0,4,"1,000.00"
ส้มโอ,4,0,4,"7,500.00"
แก้วมังกร,3.5,5.5,9,980
ไม้ยืนต้น,"290,361.00","3,057.00","293,418.00","486,037,048.32"
กระถินเทพา,0,10,10,0
ปาล์มน้ำมัน,"4,513.00","1,063.00","5,576.00","133,946,720.00"
มะพร้าว,"1,163.00",80,"1,243.00","4,260,864.02"
ยางพารา,"284,491.00","1,871.00","286,362.00","347,803,064.30"
สะตอ,185,26,211,"13,240.00"
ไผ่,9,7,16,"13,160.00"
สะบ้าย้อย,"186,574.27","47,093.30","233,667.57","19,931,896.48"
ไม้ผล,"10,234.50",768,"11,002.50","6,376,609.00"
กล้วยน้ำว้า,569,115,684,"298,965.00"
เงาะ,633.5,0,633.5,"253,400.00"
จำปาดะ,375,53,428,"177,175.00"
ทุเรียน,"4,093.00",541,"4,634.00","1,668,260.00"
มะนาว,192,33,225,"46,309.00"
มังคุด,485,26,511,"436,500.00"
ลองกอง,"3,887.00",0,"3,887.00","3,496,000.00"
ไม้ยืนต้น,"176,134.77","46,295.30","222,430.07","13,222,637.48"
กาแฟ,33.27,107.3,140.57,"69,458.00"
ปาล์มน้ำมัน,"1,126.50",254,"1,380.50","1,868,177.00"
มะพร้าว,983,55,"1,038.00","312,868.00"
ยางพารา,"173,415.00","45,823.00","219,238.00","9,518,384.48"
สะตอ,577,56,633,"1,453,750.00"
สมุนไพรและเครื่องเทศ (รต.02),205,30,235,"332,650.00"
ส้มแขก,205,30,235,"332,650.00"
ระโนด,"31,869.41","7,398.34","39,267.75","156,705,712.33"
ไม้ผล,"1,751.00",121,"1,872.00","2,852,610.00"
กระท้อน,6,0,6,700
กล้วยน้ำว้า,"1,160.00",79,"1,239.00","1,722,590.00"
ชมพู่,50,0,50,"22,000.00"
ฝรั่ง,98,18,116,"88,950.00"
มะนาว,107,17,124,"49,300.00"
มะม่วง,13,7,20,"3,700.00"
ส้มโอ,7,0,7,"5,050.00"
แก้วมังกร,10,0,10,320
กล้วยหิน,300,0,300,"960,000.00"
ไม้ยืนต้น,"30,118.41","7,277.34","37,395.75","153,853,102.33"
ตาลโตนด,"6,305.00","1,030.00","7,335.00","510,085.00"
ปาล์มน้ำมัน,"20,076.08","4,764.55","24,840.63","148,885,600.00"
มะพร้าว,"3,714.33","1,482.79","5,197.12","4,455,584.00"
ยางพารา,23,0,23,"1,833.33"
สะเดา,"369,114.00","70,580.00","439,694.00","95,622,632.67"
ไม้ผล,"5,128.00",796,"5,924.00","7,141,637.00"
กระท้อน,6,12,18,0
กล้วยไข่,10,0,10,0
กล้วยน้ำว้า,139,67,206,"95,641.00"
เงาะ,623,72,695,"605,838.00"
จำปาดะ,54,11,65,"27,400.00"
ทุเรียน,"1,193.00",428,"1,621.00","1,995,000.00"
ฝรั่ง,0,0,0,0
มะนาว,89,24,113,"785,616.00"
มะละกอ,10,5,15,"8,350.00"
มังคุด,761,83,844,"625,990.00"
ลองกอง,"2,131.00",87,"2,218.00","2,984,600.00"
ลำไย,47,1,48,"4,340.00"
สละ,50,0,50,"8,862.00"
ส้มโอ,15,6,21,0
ไม้ยืนต้น,"363,961.00","69,776.00","433,737.00","88,480,995.67"
ปาล์มน้ำมัน,"5,321.00",849,"6,170.00","37,023,775.00"
มะพร้าว,374,191,565,"244,385.00"
ยางพารา,"357,785.00","68,655.00","426,440.00","51,135,745.67"
สะตอ,344,39,383,"65,490.00"
หมาก,2,3,5,0
ไผ่,15,0,15,"6,650.00"
หม่อน,10,4,14,0
อินทผาลัม,0,10,10,0
ผักเหลียง(ผักเหมียง),110,25,135,"4,950.00"
สมุนไพรและเครื่องเทศ (รต.02),25,8,33,0
กฤษณา,25,8,33,0
หาดใหญ่,"198,726.83","90,296.85","289,023.68","123,055,389.94"
ไม้ผล,"3,240.00",289,"3,529.00","4,559,530.00"
กล้วยน้ำว้า,60,43,103,"926,000.00"
กล้วยหอม,8,0,8,"127,300.00"
เงาะ,295,31,326,"99,200.00"
ทุเรียน,747,40,787,"2,280,150.00"
มะนาว,40,20,60,"50,550.00"
มังคุด,877,109,986,"406,500.00"
ลองกอง,"1,074.00",21,"1,095.00","420,150.00"
ลำไย,8,0,8,800
ส้มโอ,131,25,156,"248,880.00"
ไม้ยืนต้น,"195,486.83","90,007.85","285,494.68","118,495,859.94"
ปาล์มน้ำมัน,"3,415.83",61.85,"3,477.68","62,986,850.00"
มะพร้าว,"1,068.00",19,"1,087.00","11,989,850.00"
ยางพารา,"190,974.00","89,927.00","280,901.00","43,212,809.94"
หม่อน,4,0,4,"4,000.00"
ผักเหลียง(ผักเหมียง),25,0,25,"302,350.00"
นาหม่อม,"37,641.75","1,761.00","39,402.75","2,859,452.64"
ไม้ผล,"1,078.75",47,"1,125.75","365,642.00"
กล้วยน้ำว้า,25,10,35,"12,600.00"
เงาะ,119.25,0,119.25,"49,000.00"
ทุเรียน,519,37,556,"175,955.00"
มังคุด,238.75,0,238.75,"85,500.00"
ลองกอง,176.75,0,176.75,"42,587.00"
ไม้ยืนต้น,"36,563.00","1,714.00","38,277.00","2,493,810.64"
ปาล์มน้ำมัน,157,8,165,"87,184.00"
มะพร้าว,886.75,3,889.75,"490,200.00"
ยางพารา,"35,261.00","1,692.00","36,953.00","1,865,106.64"
สะตอ,138.25,11,149.25,"48,400.00"
ผักเหลียง(ผักเหมียง),120,0,120,"2,920.00"
ควนเนียง,"46,423.00","5,721.00","52,144.00","62,272,718.31"
ไม้ยืนต้น,"46,423.00","5,721.00","52,144.00","62,272,718.31"
ปาล์มน้ำมัน,"4,238.00","1,222.00","5,460.00","46,851,200.00"
มะพร้าว,528,79,607,"580,000.00"
ยางพารา,"41,657.00","4,420.00","46,077.00","14,841,518.31"
บางกล่ำ,"23,281.75","1,119.25","24,401.00","4,582,469.93"
ไม้ผล,"1,789.00",414,"2,203.00","893,774.00"
กระท้อน,121,2,123,"6,080.00"
กล้วยน้ำว้า,228,32,260,"365,807.00"
กล้วยหอม,0,2,2,0
ขนุนหนัง,16,6,22,0
เงาะ,43,149,192,"34,755.00"
ตะขบ,14,2,16,0
ทุเรียน,293,133,426,"92,150.00"
มะนาว,62,6,68,"100,824.00"
มะม่วง,10,0,10,0
มะละกอ,22,0,22,"31,386.00"
มังคุด,379,16,395,"118,290.00"
ลองกอง,436,5,441,"69,580.00"
ละมุด,35,12,47,0
สละ,25,22,47,"15,995.00"
ส้มโอ,70,25,95,"28,670.00"
เสาวรส,6,0,6,"10,776.00"
มะกอกน้ำ,3,0,3,827
แก้วมังกร,6,2,8,832
กล้วยหิน,20,0,20,"17,802.00"
ไม้ยืนต้น,"21,481.25",705.25,"22,186.50","3,684,850.93"
โกโก้,0,17,17,0
ปาล์มน้ำมัน,"1,274.00",102,"1,376.00","1,679,473.00"
มะพร้าว,303,11,314,"842,979.00"
มะม่วงหิมพานต์,16.5,0,16.5,"4,863.00"
ยางพารา,"19,779.00",572,"20,351.00","1,073,996.93"
ลูกเนียง,3.25,3.25,6.5,"1,875.00"
สะตอ,25.25,0,25.25,"3,000.00"
ไผ่,77.25,0,77.25,"78,379.00"
ผักเหลียง(ผักเหมียง),3,0,3,285
สมุนไพรและเครื่องเทศ (รต.02),11.5,0,11.5,"3,845.00"
พริกไทย,3.25,0,3.25,"2,152.00"
พลู,8.25,0,8.25,"1,693.00"
สิงหนคร,"9,891.75","3,002.25","12,894.00","11,028,794.00"
ไม้ผล,"3,685.25",787.75,"4,473.00","3,935,610.00"
กระท้อน,14,7,21,"2,150.00"
กล้วยน้ำว้า,597,80,677,"972,770.00"
กล้วยหอม,2,0,2,600
ขนุนหนัง,2.25,2,4.25,"3,650.00"
น้อยหน่า,0.5,0.5,1,200
ฝรั่ง,7,2,9,"1,950.00"
มะขาม,8,0,8,"18,000.00"
มะนาว,72,26,98,"121,440.00"
มะม่วง,"2,957.00",650,"3,607.00","2,769,650.00"
มะละกอ,21,16,37,"36,300.00"
มังคุด,0.5,0,0.5,0
ลองกอง,1,0,1,0
ละมุด,2,3.25,5.25,"2,450.00"
สละ,0,0,0,0
แก้วมังกร,1,1,2,"6,450.00"
ไม้ยืนต้น,"6,206.50","2,214.50","8,421.00","7,093,184.00"
กระถินเทพา,0,14,14,0
ตาลโตนด,"1,415.00",165,"1,580.00","1,383,300.00"
ปาล์มน้ำมัน,"3,233.00","1,303.00","4,536.00","4,344,480.00"
มะพร้าว,"1,157.00",272,"1,429.00","1,344,200.00"
มะม่วงหิมพานต์,1,0,1,0
ยางพารา,361.5,411,772.5,"3,704.00"
ไม้สัก,0,1.5,1.5,0
สะตอ,30,0,30,"1,800.00"
หมาก,0.5,0.25,0.75,"8,800.00"
ไผ่,8.5,0,8.5,"6,900.00"
อินทผาลัม,0,1,1,0
ต้นสนประดิพัทธ์,0,4.75,4.75,0
ไม้ยืนต้นอื่นๆ,0,42,42,0
คลองหอยโข่ง,"83,170.25","15,405.00","98,575.25","7,070,278.18"
ไม้ผล,"1,282.00",169,"1,451.00","1,210,150.00"
กระท้อน,10,0,10,0
กล้วยน้ำว้า,64,29,93,"41,300.00"
กล้วยหอม,50,0,50,0
ขนุนหนัง,7,3,10,0
เงาะ,235,63,298,"302,750.00"
ทุเรียน,529,17,546,"393,600.00"
มะละกอ,7,0,7,0
มังคุด,162,28,190,"255,600.00"
ลองกอง,205,5,210,"209,400.00"
สละ,9,24,33,"7,500.00"
ส้มโอ,3,0,3,0
แก้วมังกร,1,0,1,0
ไม้ยืนต้น,"81,888.25","15,236.00","97,124.25","5,860,128.18"
ปาล์มน้ำมัน,"3,374.00",81,"3,455.00","4,103,050.00"
มะพร้าว,346.25,109,455.25,"63,350.00"
ยางพารา,"78,102.00","15,041.00","93,143.00","1,682,678.18"
สะตอ,20,5,25,"11,000.00"
ไผ่,25,0,25,0
ผักเหลียง(ผักเหมียง),21,0,21,50
สตูล,"543,854.01","147,347.96","691,201.97","778,683,542.39"
เมืองสตูล,"110,607.33","18,034.00","128,641.33","53,476,798.71"
ไม้ผล,"1,011.75",313,"1,324.75","666,806.00"
กระท้อน,11.75,0,11.75,0
กล้วยน้ำว้า,117,2,119,"123,820.00"
เงาะ,144,6,150,"105,450.00"
จำปาดะ,100.5,31.75,132.25,"50,610.00"
ทุเรียน,140,120,260,"117,350.00"
ฝรั่ง,4.25,0,4.25,"6,365.00"
มะนาว,106.5,6.25,112.75,"56,410.00"
มังคุด,153,65,218,"71,020.00"
ลองกอง,206.5,71.5,278,"118,850.00"
สละ,8,10.5,18.5,"4,640.00"
ส้มโอ,20.25,0,20.25,"12,291.00"
ไม้ยืนต้น,"109,595.58","17,721.00","127,316.58","52,809,992.71"
ปาล์มน้ำมัน,"6,891.00","1,127.00","8,018.00","36,781,597.72"
มะพร้าว,957.33,45,"1,002.33","1,288,708.00"
ยางพารา,"101,740.50","16,549.00","118,289.50","14,737,809.99"
สะตอ,6.25,0,6.25,"1,700.00"
ไผ่,0.5,0,0.5,177
ควนโดน,"42,099.78","17,418.55","59,518.33","13,669,468.62"
ไม้ผล,"6,025.78",854.55,"6,880.33","3,248,525.12"
กระท้อน,157,0,157,"25,740.00"
กล้วยน้ำว้า,380,16,396,"160,225.28"
กล้วยหอม,90,40,130,"185,775.00"
เงาะ,"1,061.75",0,"1,061.75","425,916.63"
จำปาดะ,858,102.85,960.85,"985,316.00"
ทุเรียน,"1,578.00",291.2,"1,869.20","420,077.00"
มะนาว,30,5,35,"49,257.00"
มะละกอ,54.5,0.5,55,"16,731.00"
มังคุด,458.53,92,550.53,"352,010.25"
ลองกอง,"1,305.00",300,"1,605.00","582,036.96"
สละ,35,5,40,"27,440.00"
ส้มโอ,18,2,20,"18,000.00"
ไม้ยืนต้น,"36,064.00","16,554.00","52,618.00","10,419,583.50"
ปาล์มน้ำมัน,"2,779.00","1,004.00","3,783.00","4,362,818.00"
มะพร้าว,546,68,614,"376,811.50"
ยางพารา,"32,498.00","15,482.00","47,980.00","5,623,132.00"
สะตอ,241,0,241,"56,822.00"
สมุนไพรและเครื่องเทศ (รต.02),10,10,20,"1,360.00"
พริกไทย,10,10,20,"1,360.00"
ควนกาหลง,"123,953.25","10,587.20","134,540.45","133,234,961.40"
ไม้ผล,"3,950.25","1,428.20","5,378.45","1,461,311.00"
กล้วยไข่,8,8,16,"8,300.00"
กล้วยน้ำว้า,94.25,29,123.25,"29,650.00"
กล้วยหอม,40,84,124,"249,200.00"
เงาะ,800,48,848,"272,900.00"
จำปาดะ,390,138,528,"16,205.00"
ทุเรียน,917,453,"1,370.00","255,276.00"
มะนาว,8,25.2,33.2,"35,540.00"
มะละกอ,27,17,44,"17,400.00"
มังคุด,311,356,667,"161,910.00"
ลองกอง,"1,320.00",267,"1,587.00","414,930.00"
สละ,30,0,30,0
ส้มโอ,5,3,8,0
ไม้ยืนต้น,"120,003.00","9,159.00","129,162.00","131,773,650.40"
ปาล์มน้ำมัน,"34,885.00","1,180.00","36,065.00","110,158,538.00"
มะพร้าว,61,47,108,"40,570.00"
ยางพารา,"84,787.00","7,885.00","92,672.00","21,494,522.40"
สะตอ,184,4,188,"71,500.00"
ไผ่,37,43,80,"8,200.00"
ผักเหลียง(ผักเหมียง),49,0,49,320
ท่าแพ,"56,210.68","19,198.10","75,408.78","25,681,140.18"
ไม้ผล,627.4,271.85,899.25,"152,270.02"
กระท้อน,0,2.5,2.5,0
กล้วยน้ำว้า,34,18,52,"3,726.00"
กล้วยหอม,3,5,8,5.4
ขนุนหนัง,1,0,1,0
เงาะ,78,30,108,"91,962.00"
จำปาดะ,65.5,63.1,128.6,"15,000.00"
ทุเรียน,85,46,131,"5,640.00"
มะนาว,17.5,15,32.5,"4,860.68"
มังคุด,62.9,43.5,106.4,"5,574.00"
ลองกอง,255,33,288,"15,750.00"
ละมุด,1,0,1,500
สละ,14.5,4.25,18.75,"6,054.00"
ส้มโอ,7,4,11,"3,062.94"
แก้วมังกร,3,3.5,6.5,135
ไม้ผลอื่นๆ,0,4,4,0
ไม้ยืนต้น,"55,583.28","18,926.25","74,509.53","25,528,870.16"
กระถินเทพา,0,2,2,0
ปาล์มน้ำมัน,"11,825.03","2,274.25","14,099.28","23,783,613.16"
มะพร้าว,29,10,39,"1,500.00"
มะรุม,1.5,0,1.5,0
ยางพารา,"43,711.00","16,637.00","60,348.00","1,743,757.00"
สะเดา,0.5,0,0.5,0
สะตอ,0.25,0,0.25,0
ไผ่,1.25,0,1.25,0
ไม้ยืนต้นอื่นๆ,14.75,3,17.75,0
ละงู,"75,143.75","26,552.25","101,696.00","169,278,866.52"
ไม้ผล,"1,565.25",225.25,"1,790.50",0
กล้วยน้ำว้า,289,0,289,0
กล้วยหอม,0,12,12,0
เงาะ,347,0,347,0
จำปาดะ,92,0,92,0
ทุเรียน,89.75,165.25,255,0
มังคุด,260,38,298,0
ลองกอง,453.5,0,453.5,0
สละ,3,0,3,0
ส้มโอ,31,10,41,0
ไม้ยืนต้น,"73,578.50","26,327.00","99,905.50","169,278,866.52"
ปาล์มน้ำมัน,"9,868.00",743,"10,611.00","87,234,787.00"
มะพร้าว,"1,516.00",48,"1,564.00",0
ยางพารา,"62,194.50","25,536.00","87,730.50","82,044,079.52"
ทุ่งหว้า,"68,353.22","41,114.36","109,467.58","18,627,563.96"
ไม้ผล,313.09,143.66,456.75,"321,932.00"
กล้วยน้ำว้า,90,20,110,"113,310.00"
เงาะ,15.95,14,29.95,"10,647.00"
จำปาดะ,11.4,11.15,22.55,"12,300.00"
ทุเรียน,15,24.42,39.42,"8,400.00"
มะนาว,26,23,49,"67,400.00"
มังคุด,33.01,6.13,39.14,"19,265.00"
ลองกอง,85.73,7.71,93.44,"16,510.00"
สละ,2,3.25,5.25,100
ส้มเขียวหวาน,30,30,60,"73,800.00"
ส้มโอ,4,4,8,200
ไม้ยืนต้น,"68,040.13","40,962.70","109,002.83","18,305,631.96"
กระถินเทพา,0,5,5,0
ปาล์มน้ำมัน,"5,886.00","3,292.46","9,178.46","15,206,101.50"
มะพร้าว,227.13,87.9,315.03,"92,408.00"
ยางพารา,"61,897.00","37,446.57","99,343.57","2,999,522.46"
ไม้สัก,2,4,6,50
สะตอ,28,7.77,35.77,"7,550.00"
ไผ่,0,2,2,0
ไม้ยืนต้นอื่นๆ,0,117,117,0
สมุนไพรและเครื่องเทศ (รต.02),0,8,8,0
พริกไทย,0,8,8,0
มะนัง,"67,486.00","14,443.50","81,929.50","364,714,743.00"
ไม้ผล,"1,817.00",490.5,"2,307.50","14,850.00"
กล้วยน้ำว้า,139,167,306,0
เงาะ,237,156,393,"5,100.00"
ทุเรียน,178,117.5,295.5,"4,200.00"
มังคุด,379,27,406,"3,150.00"
ลองกอง,880,12,892,"2,400.00"
ส้มโอ,4,11,15,0
ไม้ยืนต้น,"65,669.00","13,953.00","79,622.00","364,699,893.00"
ปาล์มน้ำมัน,"37,551.00",995,"38,546.00","354,000,000.00"
มะพร้าว,4,109,113,0
ยางพารา,"28,114.00","12,849.00","40,963.00","10,699,893.00"
สมุทรปราการ,"15,619.25","5,304.80","20,924.05","5,812,118.00"
เมืองสมุทรปราการ,230.25,18.8,249.05,"1,440.00"
ไม้ผล,216.25,18.8,235.05,"1,440.00"
กล้วยน้ำว้า,76.25,16.05,92.3,"1,440.00"
มะม่วง,140,2.75,142.75,0
ไม้ยืนต้น,14,0,14,0
มะพร้าว,14,0,14,0
บางบ่อ,"5,590.00",327,"5,917.00","2,465,212.00"
ไม้ผล,"4,312.00",327,"4,639.00","1,631,300.00"
มะม่วง,"4,312.00",327,"4,639.00","1,631,300.00"
ไม้ยืนต้น,"1,278.00",0,"1,278.00","833,912.00"
มะพร้าว,"1,278.00",0,"1,278.00","833,912.00"
บางพลี,"2,557.00",21,"2,578.00","1,811,230.00"
ไม้ผล,"2,271.00",21,"2,292.00","1,138,930.00"
กล้วยน้ำว้า,242,21,263,"519,900.00"
มะนาว,4,0,4,"3,880.00"
มะม่วง,"2,009.00",0,"2,009.00","608,850.00"
มะละกอ,16,0,16,"6,300.00"
ไม้ยืนต้น,286,0,286,"672,300.00"
มะพร้าว,279,0,279,"672,300.00"
หมาก,7,0,7,0
พระประแดง,"1,462.00",144,"1,606.00","44,316.00"
ไม้ผล,824,109,933,"36,636.00"
กล้วยน้ำว้า,98,51,149,"3,120.00"
กล้วยหอม,39,37,76,"1,716.00"
ชมพู่,121,0,121,"1,440.00"
มะนาว,86,21,107,"3,360.00"
มะม่วง,480,0,480,"27,000.00"
ไม้ยืนต้น,638,35,673,"7,680.00"
มะพร้าว,587,27,614,"5,880.00"
หมาก,51,8,59,"1,800.00"
พระสมุทรเจดีย์,148,110,258,"362,208.00"
ไม้ผล,9,16,25,"2,018.00"
พุทรา,1,0,1,490
มะม่วง,8,16,24,"1,528.00"
ไม้ยืนต้น,139,94,233,"360,190.00"
มะพร้าว,139,94,233,"360,190.00"
บางเสาธง,"5,632.00","4,684.00","10,316.00","1,127,712.00"
ไม้ผล,"4,838.00","3,484.00","8,322.00","854,800.00"
กล้วยน้ำว้า,876,"1,051.00","1,927.00","346,000.00"
กล้วยหอม,275,267,542,"232,500.00"
มะม่วง,"3,687.00","2,166.00","5,853.00","276,300.00"
ไม้ยืนต้น,794,"1,200.00","1,994.00","272,912.00"
มะพร้าว,794,"1,180.00","1,974.00","272,912.00"
มะรุม,0,20,20,0
สมุทรสงคราม,"88,932.00","6,735.50","95,667.50","133,394,002.05"
เมืองสมุทรสงคราม,"24,884.00",198,"25,082.00","42,436,700.00"
ไม้ผล,299,90,389,"293,714.00"
กล้วยน้ำว้า,8,16,24,"25,015.00"
กล้วยหอม,11,7,18,"1,795.00"
มะขาม,0,7,7,0
มะขามเทศ,78,11,89,"34,250.00"
มะนาว,15,15,30,"22,300.00"
มะม่วง,0,12,12,0
ลำไย,0,8,8,0
ลิ้นจี่,9,9,18,0
ส้มโอ,178,5,183,"210,354.00"
ไม้ยืนต้น,"24,585.00",108,"24,693.00","42,142,986.00"
มะพร้าว,"24,585.00",108,"24,693.00","42,142,986.00"
บางคนที,"32,854.00","5,646.50","38,500.50","44,390,796.00"
ไม้ผล,"12,532.00","2,122.50","14,654.50","12,423,175.00"
กล้วยไข่,2,0,2,420
กล้วยน้ำว้า,"2,253.00",0,"2,253.00","5,095,472.00"
กล้วยหอม,5,2,7,"5,915.00"
ชมพู่,137,6.25,143.25,"263,100.00"
ทุเรียน,5,12,17,808
ฝรั่ง,170,132,302,"164,364.00"
มะนาว,773,221,994,"639,044.00"
มะปรางหวาน,0,26.25,26.25,0
มะม่วง,409,76,485,"5,260.00"
มะยงชิด,0,3,3,0
มะละกอ,63,0,63,"352,379.00"
มังคุด,0,5,5,0
ลองกอง,0,2,2,0
ละมุด,85,0,85,"123,250.00"
ลิ้นจี่,"3,091.00",436,"3,527.00",0
ส้มตรา(ส้มเช้ง),0,5,5,0
ส้มโอ,"5,539.00","1,196.00","6,735.00","5,773,163.00"
ไม้ยืนต้น,"20,322.00","3,524.00","23,846.00","31,967,621.00"
มะพร้าว,"20,322.00","3,524.00","23,846.00","31,967,621.00"
อัมพวา,"31,194.00",891,"32,085.00","46,566,506.05"
ไม้ผล,"9,513.00",456,"9,969.00","9,464,461.00"
กล้วยน้ำว้า,388,0,388,"222,125.00"
ลำไย,5,0,5,0
ลิ้นจี่,"2,996.00",103,"3,099.00",0
ส้มโอ,"6,124.00",353,"6,477.00","9,242,336.00"
ไม้ยืนต้น,"21,681.00",435,"22,116.00","37,102,045.05"
ปาล์มน้ำมัน,47,47,94,"41,400.00"
มะพร้าว,"21,634.00",388,"22,022.00","37,060,645.05"
สมุทรสาคร,"56,043.35","11,359.00","67,402.35","175,302,777.50"
เมืองสมุทรสาคร,"3,867.10","1,451.00","5,318.10","19,384,100.00"
ไม้ผล,"1,994.10","1,451.00","3,445.10","7,605,100.00"
ฝรั่ง,543.1,0,543.1,"2,697,400.00"
พุทรา,452,452,904,"2,396,000.00"
มะขามเทศ,780,780,"1,560.00","1,398,500.00"
มะม่วง,219,219,438,"1,113,200.00"
ไม้ยืนต้น,"1,873.00",0,"1,873.00","11,779,000.00"
มะพร้าว,"1,873.00",0,"1,873.00","11,779,000.00"
กระทุ่มแบน,"4,995.00","3,126.00","8,121.00","8,279,440.00"
ไม้ผล,"3,961.00","2,704.00","6,665.00","5,807,240.00"
กล้วยน้ำว้า,13,0,13,"7,440.00"
ชมพู่,77,95,172,"130,900.00"
ฝรั่ง,"1,075.00",872,"1,947.00","2,580,000.00"
มะนาว,520,318,838,"602,400.00"
มะม่วง,"2,276.00","1,219.00","3,495.00","2,486,500.00"
ลำไย,0,200,200,0
ไม้ยืนต้น,"1,034.00",422,"1,456.00","2,472,200.00"
มะพร้าว,"1,034.00",422,"1,456.00","2,472,200.00"
