AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG,province,district
4,412404,ต. คอนสาย,Khon Sai,4124,อ. กู่แก้ว,Ku Kaeo,41,จ. อุดรธานี,Udon Thani,17.158,103.134,อุดรธานี,กู่แก้ว
4,460305,ต. ธัญญา,Thanya,4603,อ. กมลาไสย,Kamalasai,46,จ. กาฬสินธุ์,Kalasin,16.259,103.56700000000001,กาฬสินธุ์,กมลาไสย
4,310425,ต. หัวถนน,Hua Thanon,3104,อ. นางรอง,Nang Rong,31,จ. บุรีรัมย์,Buri Ram,14.661,102.648,บุรีรัมย์,นางรอง
4,320207,ต. สระขุด,Sa Khut,3202,อ. ชุมพลบุรี,Chumphon Buri,32,จ. สุรินทร์,Surin,15.44,103.15,สุรินทร์,ชุมพลบุรี
4,440802,ต. ก้ามปู,Kam Pu,4408,อ. พยัคฆภูมิพิสัย,Phayakkhaphum Phisai,44,จ. มหาสารคาม,Maha Sarakham,15.558,103.22200000000001,มหาสารคาม,พยัคฆภูมิพิสัย
4,411906,ต. นาบัว,Na Bua,4119,อ. เพ็ญ,Phen,41,จ. อุดรธานี,Udon Thani,17.551,102.976,อุดรธานี,เพ็ญ
4,350407,ต. ดงแคนใหญ่,Dong Khaen Yai,3504,อ. คำเขื่อนแก้ว,Kham Khuean Kaeo,35,จ. ยโสธร,Yasothon,15.572000000000001,104.395,ยโสธร,คำเขื่อนแก้ว
4,411801,ต. นางัว,Na Ngua,4118,อ. น้ำโสม,Nam Som,41,จ. อุดรธานี,Udon Thani,17.741,102.215,อุดรธานี,น้ำโสม
4,320109,ต. สำโรง,Samrong,3201,อ. เมืองสุรินทร์,Mueang Surin,32,จ. สุรินทร์,Surin,14.802,103.62700000000001,สุรินทร์,เมืองสุรินทร์
4,312302,ต. ตาเป๊ก,Ta Pek,3123,อ. เฉลิมพระเกียรติ,Chaloem Phra Kiet,31,จ. บุรีรัมย์,Buri Ram,14.568,102.92399999999999,บุรีรัมย์,เฉลิมพระเกียรติ
4,801603,ต. ทรายขาว,Sai Khao,8016,อ. หัวไทร,Hua Sai,80,จ. นครศรีธรรมราช,Nakhon Si Thammarat,8.04,100.226,นครศรีธรรมราช,หัวไทร
