พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
บางกรวย,"1,455.00","1,462.00","2,917.00","975,040.50"
บางใหญ่,"1,452.30","1,786.00","3,238.30","9,270.00"
บางบัวทอง,553.55,338.5,892.05,"480,250.00"
ไทรน้อย,"1,611.00",298,"1,909.00","1,406,770.00"
ปากเกร็ด,"1,048.08","1,961.73","3,009.81","1,841,166.45"
เมืองนราธิวาส,"63,917.00","10,426.00","74,343.00","33,957,348.97"
ตากใบ,"102,942.31","7,511.96","110,454.27","28,176,381.90"
บาเจาะ,"35,302.00","10,416.00","45,718.00","14,814,437.27"
ยี่งอ,"52,031.00","7,424.00","59,455.00","22,643,787.00"
ระแงะ,"96,317.86","16,829.17","113,147.03","15,310,021.57"
รือเสาะ,"159,335.00","18,858.00","178,193.00","26,196,271.50"
ศรีสาคร,"162,623.50","27,225.00","189,848.50","4,889,306.50"
แว้ง,"108,986.00","1,492.00","110,478.00","23,853,093.95"
สุคิริน,"65,287.00","5,528.60","70,815.60","39,390,187.88"
สุไหงโก-ลก,"22,949.00","2,987.00","25,936.00","7,664,578.19"
สุไหงปาดี,"95,717.00","14,619.00","110,336.00","20,447,200.38"
จะแนะ,"115,316.50","58,399.00","173,715.50","68,474,110.16"
เจาะไอร้อง,"50,791.00","6,968.00","57,759.00","137,282,115.00"
เมืองน่าน,"42,339.75","17,586.75","59,926.50","1,630,237.00"
มะขาม,404,20,424,"2,180.00"
บ้านหลวง,"29,048.00","34,997.00","64,045.00","12,823,240.00"
มะขาม,"2,838.00",0,"2,838.00","4,268,240.00"
นาน้อย,"51,784.25","41,675.75","93,460.00","11,384,939.00"
มะขาม,"1,192.00",673,"1,865.00","501,806.00"
ท่าวังผา,15,"75,304.50","75,319.50",0
บ่อเกลือ,"3,093.17","5,037.97","8,131.14","235,600.00"
มะขาม,13,30.5,43.5,"1,000.00"
บึงกาฬ,"730,771.75","172,191.75","902,963.50","326,825,947.78"
พรเจริญ,"70,439.00","12,176.00","82,615.00","49,286,875.00"
โซ่พิสัย,"134,544.00","31,636.00","166,180.00","148,729,735.00"
เซกา,"137,753.50","35,310.00","173,063.50","32,867,863.50"
ปากคาด,"62,730.00","12,218.00","74,948.00","19,863,168.25"
บึงโขงหลง,"69,416.25","12,679.50","82,095.75","16,690,183.03"
มะขาม,4,2,6,0
ศรีวิไล,"53,533.25","32,097.00","85,630.25","17,681,768.00"
บุ่งคล้า,"26,235.00","7,900.00","34,135.00","4,085,400.00"
เมืองบุรีรัมย์,"2,624.50","2,309.75","4,934.25","2,026,757.50"
มะขาม,0,8,8,0
คูเมือง,"19,245.00","16,895.00","36,140.00","4,340,943.00"
กระสัง,"1,598.75",877.5,"2,476.25","4,171,555.00"
นางรอง,"2,704.55","2,418.55","5,123.10","382,731.50"
หนองกี่,"7,321.00","5,390.00","12,711.00","4,377,396.00"
ละหานทราย,"44,911.48","21,701.68","66,613.16","31,543,846.10"
ประโคนชัย,"10,584.24","6,104.00","16,688.24","137,315.60"
บ้านกรวด,"56,441.00","6,568.00","63,009.00","74,739,305.00"
มะขาม,18,0,18,0
พุทไธสง,993,505.75,"1,498.75","558,214.67"
ลำปลายมาศ,"8,413.30","8,343.00","16,756.30","5,694,090.50"
สตึก,"39,059.03","9,973.25","49,032.28","15,638,109.53"
ปะคำ,"3,111.00","10,988.00","14,099.00","2,061,950.00"
มะขาม,23,23,46,"7,500.00"
นาโพธิ์,283,438.5,721.5,"78,925.00"
หนองหงส์,790,637,"1,427.00","328,700.00"
พลับพลาชัย,"1,569.00",824.5,"2,393.50","1,950,532.00"
ห้วยราช,365,837,"1,202.00","22,876.00"
